full_name,html_url,language,license,description,updated_at
desmondddm/aso-openai-screenshots,https://github.com/desmondddm/aso-openai-screenshots,Python,MIT,"Claude Code skill: Generate high-converting App Store screenshots using OpenAI's gpt-image-2. Hybrid approach — Pillow for pixel-perfect text, AI for phone mockups.",2026-04-25T16:07:42Z
lizhipodcast/gpt-image-2,https://github.com/lizhipodcast/gpt-image-2,—,—,"Edit and generate images instantly with OpenAI's GPT Image 2 AI model. Perfect text preservation, flawless identity consistency, 4K upscaling & context-aware editing.",2026-04-25T14:30:16Z
fogtape/hermes-img-skill,https://github.com/fogtape/hermes-img-skill,Python,MIT,Hermes 图片技能：无需切模型，读取本机配置的 base_url 与 api_key，默认用 gpt-image-2 调用 /v1/images/generations 发图。,2026-04-25T14:19:30Z
duduesh/gpt-image2-ratos,https://github.com/duduesh/gpt-image2-ratos,—,—,Skill de geracao de imagens com gpt-image-2 (OpenAI) usando OAuth do plano ChatGPT do user — sem API key. Lê ~/.codex/auth.json e roteia via proxy local openai-oauth.,2026-04-25T14:13:55Z
duduesh/image-gen-ratos,https://github.com/duduesh/image-gen-ratos,—,—,Skill de geracao de imagens cinematograficas pro Claude Code via gpt-image-2 (FAL API). Calibrada no estilo Ratos de IA. Zero dependencias.,2026-04-25T13:17:20Z
3yangyang9/generate-image-gpt-agent,https://github.com/3yangyang9/generate-image-gpt-agent,Python,—,An open agent skill for generating images via api.tsbys.com using gpt-image-2 model,2026-04-25T09:00:25Z
james20141606/sci-figure-workflow,https://github.com/james20141606/sci-figure-workflow,—,—,Claude Code Skill: AIGC 科研绘图 4 步工作流（GPT-image-2 × Gemini Vision × Nano Banana 2 × draw.io）— 把顶会论文配图从半天压缩到 10 分钟，产出可编辑 .drawio/.pptx/.svg,2026-04-25T02:48:12Z
videodiesel/awesome-gpt-image-2,https://github.com/videodiesel/awesome-gpt-image-2,TypeScript,NOASSERTION,—,2026-04-24T22:43:34Z
muctebadikmen/gpt-image2-vs-nano-banana2,https://github.com/muctebadikmen/gpt-image2-vs-nano-banana2,TypeScript,—,GPT Image 2 vs Nano Banana 2 — blind AI image comparison site with live leaderboard. Vite + React + Netlify Functions + Blobs.,2026-04-24T20:40:57Z
GordenSun/GPT-Image-2,https://github.com/GordenSun/GPT-Image-2,HTML,—,在线免费使用GPT-Image-2，免费总额度5000张,2026-04-24T15:32:00Z
lyzcodebool/gpt-image-2-api,https://github.com/lyzcodebool/gpt-image-2-api,—,—,"gpt-image-2 API. ￥0.04一张图，附快速对接教程，轻松上手，人人都是设计师。GPT-Image-2 API. Only ¥0.04 per image, with a quick integration tutorial for easy access. Empower everyone to be a designer.",2026-04-24T15:02:18Z
wynwynwyn888/awesome-gpt-image-2,https://github.com/wynwynwyn888/awesome-gpt-image-2,—,NOASSERTION,"🚀 World's largest GPT Image 2 prompt library, updated daily — 1500+ curated prompts with preview images, 16 languages. OpenAI's next-gen image model with pixel-perfect text rendering, cross-image consistency, and commercial-grade illustration. Free & open source.",2026-04-24T13:13:09Z
JerryZ01/gpt-image-2-tutorial,https://github.com/JerryZ01/gpt-image-2-tutorial,—,NOASSERTION,GPT-Image-2 完全教程 - 从零到一掌握 OpenAI 最新图像生成模型,2026-04-24T12:17:50Z
asabultonouti536/gpt-image-2,https://github.com/asabultonouti536/gpt-image-2,—,—,"GPT Image 2 helps creators and product teams generate visual concepts, image assets, and campaign drafts faster with practical AI image workflows.",2026-04-24T08:49:38Z
cheercheung/gpt-image-2-calculator,https://github.com/cheercheung/gpt-image-2-calculator,TypeScript,—,gpt-image-2-calculator,2026-04-24T07:34:49Z
yb3712590/gpt-image-playground,https://github.com/yb3712590/gpt-image-playground,JavaScript,—,A simple gpt-image-2 relay server.,2026-04-24T03:49:56Z
dracohu2025-cloud/gpt-image-2-examples,https://github.com/dracohu2025-cloud/gpt-image-2-examples,Python,—,—,2026-04-24T03:27:57Z
tonyd2wild/chatgpt-img2-oauth,https://github.com/tonyd2wild/chatgpt-img2-oauth,Shell,—,Use ChatGPT gpt-image-2 via ChatGPT OAuth instead of the paid OpenAI API. Patches OpenClaw + includes drop-in skills for Claude Code and Hermes.,2026-04-24T03:25:59Z
konglong87/nano-banana-pro-china,https://github.com/konglong87/nano-banana-pro-china,Python,MIT,"skills, 代理 nano-banana和GPT image2，不需要科学上网。支持自定义图片模板、UI风格。",2026-04-24T01:25:18Z
ClassicsCrypto/codex-imagegen,https://github.com/ClassicsCrypto/codex-imagegen,Shell,MIT,Route OpenClaw image generation through your ChatGPT Pro/Plus subscription instead of the API. MIT.,2026-04-24T01:01:12Z
contextarchitect/kie-ai-mcp-server,https://github.com/contextarchitect/kie-ai-mcp-server,JavaScript,MIT,Kie.ai MCP server with GPT Image 2 support. Fork of @felores/kie-ai-mcp-server with GPT Image 2 text-to-image and image-to-image tools added.,2026-04-23T17:27:19Z
mechapizzai-lab/gpt-image-2-skill,https://github.com/mechapizzai-lab/gpt-image-2-skill,—,—,—,2026-04-23T14:55:34Z
X-yhhh/API-gpt-image-2-mcp,https://github.com/X-yhhh/API-gpt-image-2-mcp,JavaScript,Apache-2.0,—,2026-04-23T14:54:45Z
moonkey48/gpt-image-2-platform,https://github.com/moonkey48/gpt-image-2-platform,TypeScript,—,—,2026-04-23T06:30:46Z
RobGruhl/hello-gpt-image,https://github.com/RobGruhl/hello-gpt-image,JavaScript,—,"Canonical OpenAI image generation reference — gpt-image-2 via Image API + Responses API. Clean client, runnable examples, docs.",2026-04-23T05:10:45Z
soymarketing/gpt-image-2-prompts,https://github.com/soymarketing/gpt-image-2-prompts,—,—,Reusable AgentSkill for generating and refining prompts for OpenAI gpt-image-2 / ChatGPT Images 2.0,2026-04-23T03:11:47Z
qiushikai95-coder/gpt-image-2-site,https://github.com/qiushikai95-coder/gpt-image-2-site,TypeScript,—,—,2026-04-23T02:54:26Z
PeterZhao119/gpt-image-2-cli,https://github.com/PeterZhao119/gpt-image-2-cli,Python,—,CLI for gpt-image-2,2026-04-23T01:01:24Z
qiuxinyuan321/fumeng,https://github.com/qiuxinyuan321/fumeng,PowerShell,MIT,🌸 AI 前端 UI 生图 Skill · 三位一体跨模态系统 (image-2 × MCP × prompt engineering) for Claude Code / Cursor / Windsurf,2026-04-22T21:28:35Z
qiuxinyuan321/ai-image-bypass,https://github.com/qiuxinyuan321/ai-image-bypass,PowerShell,MIT,📸 Realistic human / celebrity portrait generation Claude Skill · 7-slot formula + lookalike technique + model-aware routing · sister of fumeng,2026-04-22T20:58:40Z
fengxiaohu/awesome-gpt-image-2,https://github.com/fengxiaohu/awesome-gpt-image-2,Python,NOASSERTION,"🚀 Awesome GPT Image-2 — curated prompts, examples, and tips for mastering prompt engineering with OpenAI's GPT Image-2.",2026-04-22T19:16:14Z
singh2/amplifier-module-tool-openai-images,https://github.com/singh2/amplifier-module-tool-openai-images,Python,MIT,"OpenAI Images API tool for Amplifier — generation, editing, and background removal via gpt-image-2",2026-04-22T19:10:59Z
happydrew/gpt-image-2,https://github.com/happydrew/gpt-image-2,—,—,"GPT Image 2 Guide: Features, Use Cases, and How to Use",2026-04-22T16:49:02Z
hitos7264-a11y/GPT-IMAGE-2.0,https://github.com/hitos7264-a11y/GPT-IMAGE-2.0,HTML,—,—,2026-04-22T13:11:42Z
GoEnhanceAI/awesome-gpt-image-2,https://github.com/GoEnhanceAI/awesome-gpt-image-2,—,—,—,2026-04-22T10:43:18Z
sjbaebae/openimage2,https://github.com/sjbaebae/openimage2,—,—,Open source replication of GPT Image 2,2026-04-22T09:51:04Z
daimali/gpt-image2-skill,https://github.com/daimali/gpt-image2-skill,Python,—,gpt-image-2-skill,2026-04-22T09:47:07Z
TimekeeperXY/gpt-image-2,https://github.com/TimekeeperXY/gpt-image-2,JavaScript,—,—,2026-04-22T08:46:15Z
TimekeeperXY/gpt-image-2-generator,https://github.com/TimekeeperXY/gpt-image-2-generator,JavaScript,—,—,2026-04-22T07:15:23Z
Poo-DH/Comfyui_gpt_2.0,https://github.com/Poo-DH/Comfyui_gpt_2.0,Python,MIT,ComfyUI custom node for OpenAI GPT Image 2,2026-04-22T06:18:39Z
whataicc/gpt-image-2,https://github.com/whataicc/gpt-image-2,—,—,gpt-image-2代理API_低价稳定gpt-image-2中转API_国内直连OpenAI,2026-04-22T04:52:27Z
GitHub30/Awesome-GPT-Image-2,https://github.com/GitHub30/Awesome-GPT-Image-2,—,MIT,About A curated collection of fun and creative examples generated with GPT-Image-2,2026-04-21T22:58:52Z
zeta987/nano-banana-infinite-canvas-shuwen-remix,https://github.com/zeta987/nano-banana-infinite-canvas-shuwen-remix,TypeScript,NOASSERTION,"Infinite canvas powered by OpenAI GPT IMAGE 2 (flagship) + Nano Banana 2 / Pro (Gemini 3), with OpenAI Responses API prompt optimization, mask-based inpainting, outpainting, and Google Search grounding. | 以 GPT IMAGE 2 為旗艦、搭配 Nano Banana 2 / Pro 的無限畫布創作工具。",2026-04-21T21:39:13Z
danielmateo773cy-stack/gpt-image-2,https://github.com/danielmateo773cy-stack/gpt-image-2,—,—,GPT Image 2 - AI-Powered Image Generation Tool,2026-04-21T09:12:02Z
Maynor996/gpt-image-2-vs-nano-banana,https://github.com/Maynor996/gpt-image-2-vs-nano-banana,—,—,GPT Image 2 vs Nano Banana,2026-04-21T09:03:45Z
Maynor996/gpt-image-2-all,https://github.com/Maynor996/gpt-image-2-all,JavaScript,—,Minimal GPT Image 2 generator MVP for GitHub Pages,2026-04-21T07:14:48Z
thuonglethi346-hub/gpt_image_2_dev,https://github.com/thuonglethi346-hub/gpt_image_2_dev,Go,MIT,Minimal metadata package for https://www.gpt-image-2.dev,2026-04-20T07:11:27Z
Vairfly/gpt-image-2,https://github.com/Vairfly/gpt-image-2,—,—,—,2026-04-20T03:21:59Z
GeekGallifrey/GPT-Image-2-Prompts,https://github.com/GeekGallifrey/GPT-Image-2-Prompts,—,—,—,2026-04-16T13:47:34Z
thuonglethi346-hub/gpt_image_2_app,https://github.com/thuonglethi346-hub/gpt_image_2_app,PHP,MIT,minimal public package for indexing,2026-03-12T07:10:47Z
